Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,RJ Davis,North Carolina,G,37.0,37.0,1267.0,204.0,494.0,0.413,85.0,240.0,0.354,119.0,254.0,0.469,0.499,144.0,165.0,0.873,12.0,114.0,126.0,135.0,38.0,3.0,57.0,63.0,637.0,
2.0,Naithan George,Georgia Tech,G,34.0,34.0,1210.0,149.0,379.0,0.393,60.0,177.0,0.339,89.0,202.0,0.441,0.472,60.0,76.0,0.789,18.0,126.0,144.0,221.0,37.0,15.0,103.0,53.0,418.0,
3.0,Jaeden Zackery,Clemson,G,34.0,34.0,1206.0,141.0,311.0,0.453,41.0,114.0,0.36,100.0,197.0,0.508,0.519,74.0,90.0,0.822,33.0,80.0,113.0,106.0,70.0,3.0,51.0,74.0,397.0,
4.0,Kon Knueppel,Duke,G,39.0,39.0,1189.0,181.0,378.0,0.479,84.0,207.0,0.406,97.0,171.0,0.567,0.59,117.0,128.0,0.914,40.0,116.0,156.0,107.0,40.0,6.0,53.0,83.0,563.0,
5.0,Chucky Hepburn,Louisville,G,34.0,34.0,1184.0,166.0,384.0,0.432,63.0,192.0,0.328,103.0,192.0,0.536,0.514,162.0,192.0,0.844,18.0,100.0,118.0,198.0,82.0,3.0,103.0,93.0,557.0,
6.0,Maxime Raynaud,Stanford,F,35.0,35.0,1173.0,263.0,563.0,0.467,67.0,193.0,0.347,196.0,370.0,0.53,0.527,114.0,148.0,0.77,95.0,276.0,371.0,58.0,30.0,50.0,84.0,71.0,707.0,
7.0,Oziyah Sellers,Stanford,G,35.0,35.0,1159.0,171.0,379.0,0.451,59.0,147.0,0.401,112.0,232.0,0.483,0.529,78.0,87.0,0.897,21.0,78.0,99.0,45.0,25.0,10.0,38.0,61.0,479.0,
8.0,J'Vonne Hadley,Louisville,G,35.0,35.0,1157.0,155.0,299.0,0.518,32.0,84.0,0.381,123.0,215.0,0.572,0.572,84.0,109.0,0.771,76.0,180.0,256.0,64.0,25.0,8.0,55.0,68.0,426.0,
9.0,Hunter Sallis,Wake Forest,G,32.0,32.0,1150.0,211.0,462.0,0.457,43.0,155.0,0.277,168.0,307.0,0.547,0.503,119.0,148.0,0.804,17.0,147.0,164.0,90.0,39.0,17.0,78.0,74.0,584.0,
10.0,Terrence Edwards,Louisville,G,35.0,32.0,1146.0,206.0,471.0,0.437,67.0,203.0,0.33,139.0,268.0,0.519,0.508,106.0,136.0,0.779,31.0,112.0,143.0,93.0,25.0,7.0,75.0,52.0,585.0,
