Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,LJ Cryer,Houston,G,40.0,40.0,1306.0,206.0,501.0,0.411,123.0,290.0,0.424,83.0,211.0,0.393,0.534,94.0,105.0,0.895,17.0,80.0,97.0,80.0,36.0,4.0,43.0,54.0,629.0,"AP-AA-3,NABC-AA-3,SN-AA-3,USBWA-AA-3,W-AA-1"
2.0,Darius Johnson,UCF,G,37.0,37.0,1271.0,206.0,475.0,0.434,93.0,235.0,0.396,113.0,240.0,0.471,0.532,139.0,168.0,0.827,27.0,98.0,125.0,160.0,83.0,7.0,109.0,108.0,644.0,
3.0,Jaden Bradley,Arizona,G,37.0,37.0,1262.0,158.0,338.0,0.467,25.0,78.0,0.321,133.0,260.0,0.512,0.504,105.0,127.0,0.827,21.0,104.0,125.0,137.0,65.0,3.0,70.0,79.0,446.0,
4.0,Milos Uzan,Houston,G,40.0,40.0,1261.0,173.0,382.0,0.453,62.0,145.0,0.428,111.0,237.0,0.468,0.534,47.0,60.0,0.783,14.0,108.0,122.0,170.0,36.0,3.0,57.0,80.0,455.0,
5.0,Caleb Love,Arizona,G,37.0,37.0,1260.0,214.0,538.0,0.398,98.0,288.0,0.34,116.0,250.0,0.464,0.489,112.0,126.0,0.889,13.0,150.0,163.0,127.0,43.0,10.0,72.0,44.0,638.0,
6.0,Alston Mason,Arizona State,G,32.0,32.0,1167.0,142.0,327.0,0.434,58.0,150.0,0.387,84.0,177.0,0.475,0.523,101.0,119.0,0.849,15.0,66.0,81.0,128.0,24.0,7.0,69.0,62.0,443.0,
7.0,Javon Small,West Virginia,G,32.0,32.0,1156.0,183.0,438.0,0.418,83.0,235.0,0.353,100.0,203.0,0.493,0.513,146.0,166.0,0.88,15.0,116.0,131.0,180.0,49.0,11.0,87.0,48.0,595.0,
8.0,J'Wan Roberts,Houston,F,37.0,37.0,1120.0,164.0,335.0,0.49,0.0,0.0,,164.0,335.0,0.49,0.49,65.0,104.0,0.625,95.0,146.0,241.0,66.0,37.0,27.0,58.0,71.0,393.0,
9.0,Elijah Hawkins,Texas Tech,G,35.0,34.0,1115.0,92.0,285.0,0.323,54.0,171.0,0.316,38.0,114.0,0.333,0.418,80.0,95.0,0.842,17.0,106.0,123.0,226.0,54.0,5.0,69.0,94.0,318.0,
10.0,Norchad Omier,Baylor,F,35.0,35.0,1109.0,204.0,367.0,0.556,20.0,69.0,0.29,184.0,298.0,0.617,0.583,123.0,164.0,0.75,143.0,236.0,379.0,54.0,42.0,33.0,84.0,123.0,551.0,
11.0,Keyshawn Hall,UCF,G,33.0,33.0,1104.0,188.0,440.0,0.427,45.0,127.0,0.354,143.0,313.0,0.457,0.478,199.0,244.0,0.816,68.0,166.0,234.0,80.0,27.0,15.0,99.0,82.0,620.0,
12.0,V.J. Edgecombe,Baylor,G,33.0,33.0,1080.0,166.0,381.0,0.436,52.0,153.0,0.34,114.0,228.0,0.5,0.504,111.0,142.0,0.782,67.0,118.0,185.0,106.0,68.0,20.0,64.0,84.0,495.0,
13.0,Zeke Mayo,Kansas,G,34.0,32.0,1078.0,168.0,376.0,0.447,89.0,211.0,0.422,79.0,165.0,0.479,0.565,70.0,84.0,0.833,10.0,153.0,163.0,100.0,24.0,3.0,85.0,37.0,495.0,
14.0,Christian Anderson,Texas Tech,G,35.0,7.0,1070.0,118.0,275.0,0.429,71.0,187.0,0.38,47.0,88.0,0.534,0.558,65.0,81.0,0.802,19.0,86.0,105.0,77.0,41.0,3.0,36.0,79.0,372.0,
15.0,Dajuan Harris Jr.,Kansas,G,33.0,33.0,1070.0,119.0,271.0,0.439,27.0,84.0,0.321,92.0,187.0,0.492,0.489,37.0,51.0,0.725,20.0,78.0,98.0,189.0,47.0,12.0,60.0,48.0,302.0,
16.0,Tamin Lipsey,Iowa State,G,34.0,34.0,1053.0,124.0,256.0,0.484,39.0,118.0,0.331,85.0,138.0,0.616,0.561,75.0,99.0,0.758,30.0,58.0,88.0,107.0,68.0,7.0,56.0,57.0,362.0,
17.0,Curtis Jones,Iowa State,G,34.0,9.0,1037.0,197.0,458.0,0.43,88.0,235.0,0.374,109.0,223.0,0.489,0.526,109.0,129.0,0.845,15.0,129.0,144.0,79.0,39.0,6.0,48.0,54.0,591.0,
18.0,Joshua Jefferson,Iowa State,F,35.0,35.0,1036.0,159.0,306.0,0.52,18.0,58.0,0.31,141.0,248.0,0.569,0.549,118.0,156.0,0.756,66.0,193.0,259.0,109.0,74.0,26.0,82.0,77.0,454.0,
19.0,Dug McDaniel,Kansas State,G,32.0,23.0,1032.0,145.0,384.0,0.378,34.0,132.0,0.258,111.0,252.0,0.44,0.422,42.0,58.0,0.724,11.0,78.0,89.0,158.0,54.0,0.0,85.0,41.0,366.0,
20.0,Richie Saunders,Brigham Young,G,35.0,35.0,1031.0,202.0,390.0,0.518,79.0,183.0,0.432,123.0,207.0,0.594,0.619,96.0,115.0,0.835,48.0,109.0,157.0,56.0,43.0,13.0,46.0,68.0,579.0,
21.0,Robert Wright III,Baylor,G,35.0,21.0,1028.0,145.0,350.0,0.414,31.0,88.0,0.352,114.0,262.0,0.435,0.459,82.0,103.0,0.796,17.0,56.0,73.0,148.0,35.0,2.0,72.0,54.0,403.0,
22.0,Hunter Dickinson,Kansas,C,34.0,34.0,1025.0,242.0,460.0,0.526,16.0,58.0,0.276,226.0,402.0,0.562,0.543,92.0,123.0,0.748,94.0,246.0,340.0,71.0,33.0,44.0,74.0,76.0,592.0,"AP-AA-3,USBWA-AA-3"
23.0,Darrion Williams,Texas Tech,F,34.0,34.0,1021.0,186.0,424.0,0.439,48.0,141.0,0.34,138.0,283.0,0.488,0.495,92.0,110.0,0.836,55.0,131.0,186.0,123.0,43.0,13.0,64.0,74.0,512.0,
24.0,Chance McMillian,Texas Tech,G,31.0,30.0,1017.0,150.0,287.0,0.523,71.0,164.0,0.433,79.0,123.0,0.642,0.646,69.0,78.0,0.885,30.0,95.0,125.0,57.0,22.0,4.0,32.0,45.0,440.0,
25.0,Emanuel Sharp,Houston,G,37.0,36.0,1011.0,138.0,330.0,0.418,87.0,214.0,0.407,51.0,116.0,0.44,0.55,105.0,121.0,0.868,19.0,91.0,110.0,31.0,50.0,0.0,31.0,86.0,468.0,
26.0,Coleman Hawkins,Kansas State,F,30.0,30.0,1009.0,120.0,299.0,0.401,36.0,119.0,0.303,84.0,180.0,0.467,0.462,45.0,78.0,0.577,56.0,151.0,207.0,129.0,54.0,39.0,86.0,75.0,321.0,
27.0,Basheer Jihad,Arizona State,F,33.0,32.0,1007.0,121.0,298.0,0.406,30.0,104.0,0.288,91.0,194.0,0.469,0.456,148.0,192.0,0.771,43.0,138.0,181.0,59.0,35.0,23.0,80.0,90.0,420.0,
