Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Steven Ashworth,Creighton,G,35.0,35.0,1261.0,172.0,438.0,0.393,110.0,294.0,0.374,62.0,144.0,0.431,0.518,119.0,128.0,0.93,11.0,132.0,143.0,239.0,24.0,2.0,120.0,58.0,573.0,
2.0,Jamiya Neal,Creighton,F,36.0,36.0,1232.0,168.0,376.0,0.447,48.0,154.0,0.312,120.0,222.0,0.541,0.511,49.0,85.0,0.576,25.0,196.0,221.0,158.0,32.0,21.0,85.0,79.0,433.0,
3.0,Eric Dixon,Villanova,F,35.0,35.0,1218.0,269.0,597.0,0.451,103.0,253.0,0.407,166.0,344.0,0.483,0.537,174.0,214.0,0.813,50.0,130.0,180.0,67.0,29.0,10.0,75.0,70.0,815.0,"AP-AA-3,NABC-AA-3,SN-AA-2,USBWA-AA-3"
4.0,Jordan Longino,Villanova,G,36.0,36.0,1207.0,141.0,321.0,0.439,47.0,135.0,0.348,94.0,186.0,0.505,0.512,71.0,87.0,0.816,28.0,57.0,85.0,86.0,37.0,9.0,42.0,76.0,400.0,
5.0,Ryan Kalkbrenner,Creighton,C,35.0,35.0,1206.0,271.0,415.0,0.653,21.0,61.0,0.344,250.0,354.0,0.706,0.678,109.0,160.0,0.681,84.0,219.0,303.0,54.0,19.0,93.0,51.0,49.0,672.0,"AP-AA-3,NABC-AA-2,SN-AA-3,USBWA-AA-2,W-AA-1"
6.0,Micah Peavy,Georgetown,G,32.0,32.0,1184.0,219.0,455.0,0.481,52.0,130.0,0.4,167.0,325.0,0.514,0.538,60.0,91.0,0.659,53.0,132.0,185.0,114.0,74.0,16.0,83.0,94.0,550.0,
7.0,Alex Karaban,Connecticut,F,33.0,33.0,1184.0,161.0,368.0,0.438,68.0,196.0,0.347,93.0,172.0,0.541,0.53,82.0,99.0,0.828,54.0,120.0,174.0,92.0,19.0,51.0,43.0,66.0,472.0,
8.0,Kadary Richmond,St. John's (NY),G,36.0,35.0,1164.0,191.0,392.0,0.487,7.0,40.0,0.175,184.0,352.0,0.523,0.496,59.0,110.0,0.536,46.0,184.0,230.0,191.0,72.0,31.0,71.0,71.0,448.0,
9.0,Jahmyl Telfort,Butler,G,33.0,33.0,1162.0,179.0,380.0,0.471,43.0,119.0,0.361,136.0,261.0,0.521,0.528,128.0,166.0,0.771,34.0,120.0,154.0,113.0,34.0,11.0,73.0,65.0,529.0,
10.0,Pierre Brooks,Butler,G,35.0,35.0,1156.0,195.0,415.0,0.47,58.0,171.0,0.339,137.0,244.0,0.561,0.54,84.0,103.0,0.816,31.0,149.0,180.0,66.0,16.0,4.0,59.0,43.0,532.0,
11.0,Kameron Jones,Marquette,G,34.0,34.0,1149.0,266.0,551.0,0.483,64.0,206.0,0.311,202.0,345.0,0.586,0.541,57.0,88.0,0.648,22.0,130.0,152.0,200.0,47.0,9.0,63.0,75.0,653.0,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-2,USBWA-AA-2,W-AA-1"
12.0,Wooga Poplar,Villanova,G,36.0,34.0,1149.0,192.0,417.0,0.46,70.0,181.0,0.387,122.0,236.0,0.517,0.544,95.0,111.0,0.856,31.0,220.0,251.0,53.0,46.0,9.0,65.0,80.0,549.0,
13.0,Zuby Ejiofor,St. John's (NY),F,36.0,35.0,1144.0,179.0,310.0,0.577,10.0,45.0,0.222,169.0,265.0,0.638,0.594,160.0,226.0,0.708,158.0,133.0,291.0,59.0,32.0,51.0,61.0,91.0,528.0,
14.0,Patrick McCaffery,Butler,F,35.0,35.0,1127.0,131.0,303.0,0.432,77.0,185.0,0.416,54.0,118.0,0.458,0.559,53.0,62.0,0.855,22.0,127.0,149.0,55.0,16.0,6.0,34.0,30.0,392.0,
15.0,Ryan Conwell,Xavier,G,34.0,34.0,1122.0,176.0,391.0,0.45,99.0,240.0,0.413,77.0,151.0,0.51,0.577,111.0,134.0,0.828,9.0,84.0,93.0,84.0,44.0,6.0,55.0,85.0,562.0,
16.0,Malik Mack,Georgetown,G,32.0,32.0,1115.0,145.0,381.0,0.381,59.0,166.0,0.355,86.0,215.0,0.4,0.458,65.0,89.0,0.73,33.0,83.0,116.0,136.0,40.0,9.0,78.0,65.0,414.0,
17.0,RJ Luis,St. John's (NY),G,35.0,32.0,1114.0,229.0,522.0,0.439,46.0,137.0,0.336,183.0,385.0,0.475,0.483,133.0,178.0,0.747,75.0,176.0,251.0,71.0,49.0,20.0,76.0,76.0,637.0,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-3,USBWA-AA-2"
18.0,Solomon Ball,Connecticut,G,35.0,35.0,1110.0,166.0,378.0,0.439,99.0,239.0,0.414,67.0,139.0,0.482,0.57,74.0,88.0,0.841,24.0,102.0,126.0,57.0,26.0,13.0,35.0,69.0,505.0,
19.0,Dayvion McKnight,Xavier,G,34.0,34.0,1108.0,110.0,259.0,0.425,19.0,55.0,0.345,91.0,204.0,0.446,0.461,86.0,110.0,0.782,10.0,79.0,89.0,143.0,48.0,7.0,54.0,73.0,325.0,
20.0,Jayden Pierre,Providence,G,32.0,32.0,1095.0,136.0,342.0,0.398,67.0,196.0,0.342,69.0,146.0,0.473,0.496,54.0,68.0,0.794,24.0,66.0,90.0,101.0,20.0,8.0,75.0,81.0,393.0,
21.0,David Joplin,Marquette,F,34.0,34.0,1080.0,167.0,397.0,0.421,73.0,226.0,0.323,94.0,171.0,0.55,0.513,76.0,94.0,0.809,45.0,140.0,185.0,44.0,36.0,31.0,66.0,79.0,483.0,
22.0,Jhamir Brickus,Villanova,G,36.0,36.0,1071.0,121.0,257.0,0.471,62.0,131.0,0.473,59.0,126.0,0.468,0.591,31.0,37.0,0.838,7.0,60.0,67.0,170.0,30.0,7.0,69.0,81.0,335.0,
23.0,Chase Ross,Marquette,G,34.0,34.0,1031.0,117.0,251.0,0.466,38.0,104.0,0.365,79.0,147.0,0.537,0.542,86.0,114.0,0.754,38.0,92.0,130.0,72.0,61.0,22.0,49.0,71.0,358.0,
