Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Walter Clayton Jr.,Florida,G,39.0,39.0,1271.0,235.0,524.0,0.448,117.0,303.0,0.386,118.0,221.0,0.534,0.56,126.0,144.0,0.875,14.0,130.0,144.0,163.0,46.0,20.0,94.0,73.0,713.0,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
2.0,Zakai Zeigler,Tennessee,G,37.0,37.0,1266.0,148.0,366.0,0.404,64.0,199.0,0.322,84.0,167.0,0.503,0.492,144.0,177.0,0.814,18.0,89.0,107.0,275.0,70.0,9.0,111.0,69.0,504.0,"AP-AA-3,NABC-AA-3,SN-AA-3,USBWA-AA-3"
3.0,Will Richard,Florida,G,40.0,40.0,1265.0,185.0,380.0,0.487,80.0,223.0,0.359,105.0,157.0,0.669,0.592,81.0,96.0,0.844,45.0,138.0,183.0,74.0,66.0,13.0,62.0,90.0,531.0,
4.0,D.J. Wagner,Arkansas,G,36.0,36.0,1243.0,147.0,367.0,0.401,41.0,135.0,0.304,106.0,232.0,0.457,0.456,67.0,82.0,0.817,11.0,86.0,97.0,131.0,35.0,2.0,80.0,51.0,402.0,
5.0,Mark Sears,Alabama,G,37.0,37.0,1194.0,200.0,496.0,0.403,90.0,261.0,0.345,110.0,235.0,0.468,0.494,200.0,237.0,0.844,16.0,92.0,108.0,190.0,32.0,3.0,99.0,56.0,690.0,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
6.0,Chaz Lanier,Tennessee,G,38.0,38.0,1192.0,243.0,564.0,0.431,123.0,311.0,0.395,120.0,253.0,0.474,0.54,75.0,99.0,0.758,19.0,129.0,148.0,40.0,34.0,5.0,42.0,60.0,684.0,"NABC-AA-3,SN-AA-3,W-AA-1"
7.0,Sean Pedulla,Ole Miss,G,36.0,36.0,1181.0,187.0,424.0,0.441,87.0,222.0,0.392,100.0,202.0,0.495,0.544,94.0,114.0,0.825,16.0,110.0,126.0,135.0,68.0,6.0,73.0,94.0,555.0,
8.0,Alijah Martin,Florida,G,38.0,36.0,1155.0,189.0,418.0,0.452,79.0,226.0,0.35,110.0,192.0,0.573,0.547,89.0,117.0,0.761,46.0,124.0,170.0,82.0,56.0,7.0,55.0,54.0,546.0,
9.0,Tre Johnson,Texas,G,33.0,33.0,1145.0,224.0,525.0,0.427,89.0,224.0,0.397,135.0,301.0,0.449,0.511,121.0,139.0,0.871,11.0,92.0,103.0,90.0,31.0,10.0,60.0,69.0,658.0,
